trackId,name,album,artist,releaseDate,length,popularity,acousticness,danceability,energy,instrumentalness,liveness,loudness,speechiness,tempo,timeSignature
35cVkyTqIGkwpg7OhIl5TE,candy reign (!),candy reign (!),Jim Legxacy,2022-08-03,138000,20,0.607,0.511,0.444,9.58e-05,0.15,-8.406,0.288,199.626,4
1Fav4xZn60uGM3XmiHJmvT,One Of Your Girls,Something To Give Each Other,Troye Sivan,2023-10-13,181481,76,0.637,0.0926,0.639,0.00503,0.223,-7.832,0.0542,92.987,4
4iZ4pt7kvcaH6Yo8UoZ4s2,Snooze,SOS,SZA,2022-12-09,201800,93,0.559,0.141,0.551,0.0,0.11,-7.231,0.132,143.008,4
6zIen2DYr2t19vbwqgORY2,Scenic Drive (feat. Ari Lennox & Smino),Scenic Drive (The Tape),Khalid,2021-12-03,249773,58,0.367,0.0258,0.552,0.000217,0.154,-9.109,0.0504,93.467,5
2rf9i0Enr8cw1JRME8Rsvq,Cardboard Box,Cardboard Box,FLO,2022-03-24,161366,64,0.579,0.04,0.714,0.0,0.341,-4.308,0.0584,80.419,4
6QT6j7rKt7Vk3IuV2AUO9W,lacy,GUTS,Olivia Rodrigo,2023-09-08,177212,83,0.455,0.803,0.379,0.0,0.109,-7.628,0.0341,76.967,4
4WghJOMjDpGdlk3b8aJIgy,up at night (feat. justin bieber),up at night (feat. justin bieber),Kehlani,2022-03-30,182226,62,0.563,0.196,0.756,0.0,0.245,-3.852,0.0579,100.012,4
5HphhcOuLFWBj9IghbrKJB,Midnight River (feat. 6LACK),Midnight River (feat. 6LACK),Pink Sweat$,2021-12-10,184242,53,0.497,0.777,0.351,0.0,0.157,-9.048,0.0648,171.719,4
2MAEd35YAuGXXCifA2M1Wz,Eye Tell (!),Eye Tell (!),Jim Legxacy,2022-03-31,130692,46,0.713,0.257,0.644,0.0,0.693,-9.636,0.393,121.129,4
7k0wVBW3cvV6Xmb87JikIf,Last Call,Last Call,Khalid,2022-03-03,191375,61,0.55cl3,0.0254,0.727,0.0113,0.107,-6.905,0.0348,173.972,4
0tFRxPQHvAUMTbWYRJUo8R,we're not alike,THINK LATER,Tate McRae,2023-12-08,180392,77,0.707,0.0237,0.811,5.16e-06,0.153,-5.003,0.0338,113.022,4
0JmnkIqdlnUzPaf8sqBRs3,Moonlight,Red Moon In Venus,Kali Uchis,2023-03-03,187723,86,0.642,0.518,0.706,0.0,0.25,-6.872,0.052,136.851,4
6hgoYQDUcPyCz7LcTUHKxa,Calm Down,Calm Down,Rema,2022-02-10,219813,77,0.811,0.376,0.781,0.001,0.121,-6.333,0.0428,107.007,4
36vmaZyO0iAE6FZ7287fg2,Dive,Messy,Olivia Dean,2023-06-30,200759,71,0.626,0.143,0.717,5.87e-05,0.119,-6.028,0.0381,90.081,4
5tmxPmmXvgJPU7bIukFX8p,Nothing Feels Better,Nothing Feels Better,Pink Sweat$,2021-10-22,157779,52,0.769,0.285,0.395,0.0,0.0776,-7.71,0.0287,81.485,4
7m4BsKrYkOFy3VNmAMu5bO,sun and moon,summer camp,anees,2023-05-19,151507,73,0.815,0.457,0.442,0.0,0.101,-7.462,0.107,90.019,4
